zone_code,category,english,local_text,phonetic,syllables,literal_meaning,cultural_note
nyanja,greetings,Goodbye (to person leaving / Go safely),Muyende bwino,moo-yehn-deh bwee-noh,Mu-ye-nde bwi-no,Travel/go well.,Said to the person leaving.
nyanja,safari,The waterfall is magnificent,Mathithi awa ndi okongola kwambiri,mah-thee-thee ah-wah n-dee oh-kohn-goh-lah kwahm-bee-ree,Ma-thi-thi a-wa ndi o-ko-ngo-la kwa-mbi-ri,These waterfalls are very beautiful.,Tourist compliment.
nyanja,safari,Lion / Elephant / Leopard,Mkango / Njovu / Kambuku,m-kahn-goh / n-joh-voo / kahm-boo-koo,Mka-ngo / Njo-vu / Ka-mbu-ku,Lion / Elephant / Leopard,Common wildlife names.
nyanja,navigation,Where is the road to...?,Njira yopita ku... ili kuti?,n-jee-rah yoh-pee-tah koo ee-lee koo-tee,Nji-ra yo-pi-ta ku i-li ku-ti,Where is the road/path going to...?,Useful direction question.
nyanja,market,How much is this?,Ichi ndi zingati?,ee-chee n-dee zeen-gah-tee,I-chi ndi zi-nga-ti,How much is this?,Market price question.
nyanja,market,Drinking water / Nshima (staple meal),Madzi akumwa / Nsima,mah-dzee ah-koom-wah / n-see-mah,Ma-dzi a-ku-mwa / Nsi-ma,Drinking water / Nshima,Nsima is the staple maize meal.
nyanja,market,The food is very delicious,Chakudya ichi ndi chokoma kwambiri,chah-koo-dyah ee-chee n-dee choh-koh-mah kwahm-bee-ree,Cha-ku-dya i-chi ndi cho-ko-ma kwa-mbi-ri,This food is very tasty.,Food compliment.
nyanja,emergency,Please help me,Chonde ndithandizeni,chon-deh n-dee-thahn-dee-zeh-nee,Cho-nde ndi-tha-ndi-ze-ni,Please help me.,Polite emergency request.
nyanja,emergency,I need a doctor / clinic,Ndikufuna dokotala / chipatala,n-dee-koo-foo-nah doh-koh-tah-lah / chee-pah-tah-lah,Ndi-ku-fu-na do-ko-ta-la / chi-pa-ta-la,I need/want a doctor / clinic or hospital.,Health emergency phrase.
kaonde,greetings,How are you? / Greetings,Muji byepi mwane?,moo-jee byeh-pee mwah-neh,Mu-ji bye-pi mwa-ne,"How are you, respectfully?",Standard polite Kaonde greeting.
kaonde,greetings,Good morning / How did you wake?,Mwabuka byepi mwane?,mwah-boo-kah byeh-pee mwah-neh,Mwa-bu-ka bye-pi mwa-ne,How did you wake?,Respectful morning greeting.
kaonde,greetings,Good afternoon / How is the day?,Kimute mwane!,kee-moo-teh mwah-neh,Ki-mu-te mwa-ne,Good afternoon.,Established Kaonde afternoon greeting.
kaonde,greetings,I am fine / Peaceful,Njitu bulongo mwane,n-jee-too boo-lohn-goh mwah-neh,Nji-tu bu-lo-ngo mwa-ne,I am well/fine.,Standard response.
kaonde,greetings,Thank you,Nasanta mwane,nah-sahn-tah mwah-neh,Na-san-ta mwa-ne,I thank you.,Polite gratitude.
kaonde,greetings,Thank you very much,Nasanta bingi mwane,nah-sahn-tah been-gee mwah-neh,Na-san-ta bi-ngi mwa-ne,I thank you very much.,Strong appreciation.
kaonde,greetings,Welcome (to visitors),Mwaiyai mwane,mwah-ee-yah-ee mwah-neh,Mwa-i-ya-i mwa-ne,Welcome.,Greeting used to welcome visitors.
kaonde,greetings,Goodbye (to person staying / Stay well),Shalaipo bulongo mwane,shah-lah-ee-poh boo-lohn-goh mwah-neh,Sha-lai-po bu-lo-ngo mwa-ne,Remain well.,Farewell to a person staying.
kaonde,greetings,Goodbye (to person leaving / Go safely),Endai bulongo mwane,ehn-dah-ee boo-lohn-goh mwah-neh,En-da-i bu-lo-ngo mwa-ne,Go well.,Farewell to a person leaving.
kaonde,safari,The waterfall is magnificent,Kipoma kiji bulongo bingi,kee-poh-mah kee-jee boo-lohn-goh been-gee,Ki-po-ma ki-ji bu-lo-ngo bi-ngi,The waterfall is very beautiful.,Tourism phrase; local wording should be audio-validated.
kaonde,safari,Lion / Elephant / Leopard,Nkhalamo / Nzovu / Nkashi,n-khah-lah-moh / n-zoh-voo / n-kah-shee,Nkha-la-mo / Nzo-vu / Nka-shi,Lion / Elephant / Leopard,Wildlife vocabulary; regional forms may vary.
kaonde,navigation,Where is the road to...?,Nzila ya kuya ku... iji kwepi?,n-zee-lah yah koo-yah koo ee-jee kweh-pee,Nzi-la ya ku-ya ku i-ji kwe-pi,Where is the road to...?,Direction phrase.
kaonde,market,How much is this?,Kino kiji bunga?,kee-noh kee-jee boon-gah,Ki-no ki-ji bu-nga,How much is this?,Price question; native-speaker validation recommended.
kaonde,market,Drinking water / Nshima (staple meal),Meema a kunwa / Nshima,meh-mah ah koo-nwah / n-shee-mah,Mee-ma a ku-nwa / Nshi-ma,Drinking water / Nshima,Common everyday food vocabulary.
kaonde,market,The food is very delicious,Byakulya bino byawama bingi,byah-koo-lyah bee-noh byah-wah-mah been-gee,Bya-ku-lya bi-no bya-wa-ma bi-ngi,This food is very good.,Food compliment.
kaonde,emergency,Please help me,Ngafweniko mwane,n-gah-fweh-nee-koh mwah-neh,Nga-fwe-ni-ko mwa-ne,Please help me.,Emergency request; audio should be native-speaker checked.
kaonde,emergency,I need a doctor / clinic,Ngitonda dokota / chipatala,n-gee-tohn-dah doh-koh-tah / chee-pah-tah-lah,Ngi-to-nda do-ko-ta / chi-pa-ta-la,I need a doctor / clinic.,Health phrase; loanwords are widely understood.
lunda,greetings,How are you? / Greetings,Mudi ngahi mwani?,moo-dee ngah-hee mwah-nee,Mu-di nga-hi mwa-ni,How are you?,Respectful Lunda greeting.
lunda,greetings,Good morning / How did you wake?,Ntetemena mwani,n-teh-teh-meh-nah mwah-nee,Nte-te-me-na mwa-ni,Good morning.,Documented Lunda morning greeting.
lunda,greetings,Good afternoon / How is the day?,Melela mwani,meh-leh-lah mwah-nee,Me-le-la mwa-ni,Good day/evening.,Common later-day greeting; usage varies locally.
lunda,greetings,I am fine / Peaceful,Nidi chachiwahi mwani,nee-dee chah-chee-wah-hee mwah-nee,Ni-di cha-chi-wa-hi mwa-ni,I am well.,Standard response.
lunda,greetings,Thank you,Nasakalili mwani,nah-sah-kah-lee-lee mwah-nee,Na-sa-ka-li-li mwa-ni,Thank you.,Standard gratitude.
lunda,greetings,Thank you very much,Nasakalili nankashi mwani,nah-sah-kah-lee-lee nahn-kah-shee mwah-nee,Na-sa-ka-li-li nan-ka-shi mwa-ni,Thank you very much.,Strong appreciation; regional wording may vary.
lunda,greetings,Welcome (to visitors),Shikenu mwani,shee-keh-noo mwah-nee,Shi-ke-nu mwa-ni,Welcome.,Documented welcome greeting.
lunda,greetings,Goodbye (to person staying / Stay well),Mushalu chiwahi mwani,moo-shah-loo chee-wah-hee mwah-nee,Mu-sha-lu chi-wa-hi mwa-ni,Stay well.,Said to a person remaining.
lunda,greetings,Goodbye (to person leaving / Go safely),Mwenduhu chiwahi mwani,mwehn-doo-hoo chee-wah-hee mwah-nee,Mwe-ndu-hu chi-wa-hi mwa-ni,Go well.,Said to a person departing.
lunda,safari,The waterfall is magnificent,Chipoma chidi chachiwahi nankashi,chee-poh-mah chee-dee chah-chee-wah-hee nahn-kah-shee,Chi-po-ma chi-di cha-chi-wa-hi nan-ka-shi,The waterfall is very beautiful.,Tourism phrase; native Ndembu/Lunda audio validation recommended.
lunda,safari,Lion / Elephant / Leopard,Ntambu / Nzovu / Nkashi,n-tahm-boo / n-zoh-voo / n-kah-shee,Nta-mbu / Nzo-vu / Nka-shi,Lion / Elephant / Leopard,Wildlife terms may vary by Lunda variety.
lunda,navigation,Where is the road to...?,Nzila ya kuya ku... yidi kwihi?,n-zee-lah yah koo-yah koo yee-dee kwee-hee,Nzi-la ya ku-ya ku yi-di kwi-hi,Where is the road to...?,Direction phrase.
lunda,market,How much is this?,Chingahi mwani?,cheen-gah-hee mwah-nee,Chi-nga-hi mwa-ni,How much is it?,Documented price question.
lunda,market,Drinking water / Nshima (staple meal),Meji a kunwa / Nshima,meh-jee ah koo-nwah / n-shee-mah,Me-ji a ku-nwa / Nshi-ma,Drinking water / Nshima,Common everyday terms.
lunda,market,The food is very delicious,Chakulya ichi chachiwahi nankashi,chah-koo-lyah ee-chee chah-chee-wah-hee nahn-kah-shee,Cha-ku-lya i-chi cha-chi-wa-hi nan-ka-shi,This food is very good.,Food compliment.
lunda,emergency,Please help me,Ankwashuku mwani,ahn-kwah-shoo-koo mwah-nee,An-kwa-shu-ku mwa-ni,Please help me.,Polite request for help.
lunda,emergency,I need a doctor / clinic,Ninatonda ndotolo / chipatala,nee-nah-tohn-dah n-doh-toh-loh / chee-pah-tah-lah,Ni-na-to-nda ndo-to-lo / chi-pa-ta-la,I need a doctor / clinic.,Health phrase; medical loanwords may vary.
luvale,greetings,How are you? / Greetings,Muli ngachili mwane? / Munayoyo mwane?,moo-lee n-gah-chee-lee mwah-neh / moo-nah-yoh-yoh mwah-neh,Mu-li nga-chi-li mwa-ne / Mu-na-yo-yo mwa-ne,How are you?,Respectful Luvale greeting.
luvale,greetings,Good morning / How did you wake?,Chimene mwane,chee-meh-neh mwah-neh,Chi-me-ne mwa-ne,Good morning.,Established Luvale morning greeting.
luvale,greetings,Good afternoon / How is the day?,Musana mwane,moo-sah-nah mwah-neh,Mu-sa-na mwa-ne,Good afternoon.,Established Luvale afternoon greeting.
luvale,greetings,I am fine / Peaceful,Nguli kanawa mwane,n-goo-lee kah-nah-wah mwah-neh,Ngu-li ka-na-wa mwa-ne,I am fine.,Standard response.
luvale,greetings,Thank you,Ngunasakwilila mwane,n-goo-nah-sah-kwee-lee-lah mwah-neh,Ngu-na-sa-kwi-li-la mwa-ne,Thank you.,Polite gratitude.
luvale,greetings,Thank you very much,Ngunasakwilila chikuma mwane,n-goo-nah-sah-kwee-lee-lah chee-koo-mah mwah-neh,Ngu-na-sa-kwi-li-la chi-ku-ma mwa-ne,Thank you very much.,Strong appreciation.
luvale,greetings,Welcome (to visitors),Tambukenu mwane,tahm-boo-keh-noo mwah-neh,Ta-mbu-ke-nu mwa-ne,Welcome.,Common visitor welcome.
luvale,greetings,Goodbye (to person staying / Stay well),Salenuho kanawa mwane,sah-leh-noo-hoh kah-nah-wah mwah-neh,Sa-le-nu-ho ka-na-wa mwa-ne,Stay well.,Farewell to those remaining.
luvale,greetings,Goodbye (to person leaving / Go safely),Mwendenga kanawa mwane,mwehn-dehn-gah kah-nah-wah mwah-neh,Mwe-nde-nga ka-na-wa mwa-ne,Go safely/well.,Farewell to departing traveller.
luvale,safari,The waterfall is magnificent,Chikuma cha mema ichi chawahe chikuma,chee-koo-mah chah meh-mah ee-chee chah-wah-heh chee-koo-mah,Chi-ku-ma cha me-ma i-chi cha-wa-he chi-ku-ma,This waterfall is very beautiful.,Tourism phrase; native-speaker validation recommended.
luvale,safari,Lion / Elephant / Leopard,Ndumba / Nzovu / Nkashi,n-doom-bah / n-zoh-voo / n-kah-shee,Ndu-mba / Nzo-vu / Nka-shi,Lion / Elephant / Leopard,Wildlife terms can vary regionally.
luvale,navigation,Where is the road to...?,Njila ya kuya ku... yili kulihi?,n-jee-lah yah koo-yah koo yee-lee koo-lee-hee,Nji-la ya ku-ya ku yi-li ku-li-hi,Where is the road to...?,Direction phrase.
luvale,market,How much is this?,Jingahi mwane?,jeen-gah-hee mwah-neh,Ji-nga-hi mwa-ne,How much?,Documented Luvale price question.
luvale,market,Drinking water / Nshima (staple meal),Meji akumwa / Nshima,meh-jee ah-koom-wah / n-shee-mah,Me-ji a-ku-mwa / Nshi-ma,Drinking water / Nshima,Everyday food vocabulary.
luvale,market,The food is very delicious,Chakulya ichi chawahe chikuma,chah-koo-lyah ee-chee chah-wah-heh chee-koo-mah,Cha-ku-lya i-chi cha-wa-he chi-ku-ma,This food is very delicious/good.,Food compliment.
luvale,emergency,Please help me,Ngukwashenu mwane,n-goo-kwah-sheh-noo mwah-neh,Ngu-kwa-she-nu mwa-ne,Please help me.,Emergency request; native-speaker audio validation recommended.
luvale,emergency,I need a doctor / clinic,Ngwatonda ndotolo / chipatela,n-gwah-tohn-dah n-doh-toh-loh / chee-pah-teh-lah,Ngwa-to-nda ndo-to-lo / chi-pa-te-la,I need a doctor / clinic.,Health phrase.
lozi,greetings,How are you? / Greetings,Mucwani? / Mu zuhile cwani?,moo-chwah-nee / moo zoo-hee-leh chwah-nee,Mu-cwa-ni / Mu zu-hi-le cwa-ni,How are you?,Common siLozi greeting.
lozi,greetings,Good morning / How did you wake?,Mu zuhile cwani?,moo zoo-hee-leh chwah-nee,Mu zu-hi-le cwa-ni,How did you wake?,Morning greeting.
lozi,greetings,Good afternoon / How is the day?,Mu tozi cwani?,moo toh-zee chwah-nee,Mu to-zi cwa-ni,How is your afternoon/day?,Afternoon greeting.
lozi,greetings,I am fine / Peaceful,Ni inzi hande / Ni iketile,nee een-zee hahn-deh / nee ee-keh-tee-leh,Ni in-zi ha-nde / Ni i-ke-ti-le,I am well/fine.,Standard response.
lozi,greetings,Thank you,Luitumezi,loo-ee-too-meh-zee,Lu-i-tu-me-zi,Thank you.,Standard gratitude.
lozi,greetings,Thank you very much,Ni itumezi hahulu,nee ee-too-meh-zee hah-hoo-loo,Ni i-tu-me-zi ha-hu-lu,Thank you very much.,Strong appreciation.
lozi,greetings,Welcome (to visitors),Mu amuhezwi,moo ah-moo-heh-zwee,Mu a-mu-he-zwi,You are welcome.,Visitor welcome.
lozi,greetings,Goodbye (to person staying / Stay well),Mu siyale hande,moo see-yah-leh hahn-deh,Mu si-ya-le ha-nde,Remain well.,Farewell to person staying.
lozi,greetings,Goodbye (to person leaving / Go safely),Mu zamaye hande,moo zah-mah-yeh hahn-deh,Mu za-ma-ye ha-nde,Travel/go well.,Farewell to person leaving.
lozi,safari,The waterfall is magnificent,Mulapo wa mezi wo ki omunde hahulu,moo-lah-poh wah meh-zee woh kee oh-moon-deh hah-hoo-loo,Mu-la-po wa me-zi wo ki o-mu-nde ha-hu-lu,The waterfall is very beautiful.,Tourism phrase; native-speaker validation recommended.
lozi,safari,Lion / Elephant / Leopard,Tau / Tlou / Nkwazi,tah-oo / tloh-oo / n-kwah-zee,Ta-u / Tlou / Nkwa-zi,Lion / Elephant / Leopard,Wildlife vocabulary; regional forms may vary.
lozi,navigation,Where is the road to...?,Nzila ya kuya kwa... ki kai?,n-zee-lah yah koo-yah kwah kee kah-ee,Nzi-la ya ku-ya kwa ki ka-i,Where is the road to...?,Direction phrase.
lozi,market,How much is this?,Ki bukai sesi?,kee boo-kah-ee seh-see,Ki bu-ka-i se-si,How much is this?,Market price question; wording varies.
lozi,market,Drinking water / Nshima (staple meal),Mezi a kunwa / Buhobe,meh-zee ah koo-nwah / boo-hoh-beh,Me-zi a ku-nwa / Bu-ho-be,Drinking water / staple maize meal,Buhobe is a common Lozi staple porridge.
lozi,market,The food is very delicious,Lico ze ki ze nde hahulu,lee-choh zeh kee zeh n-deh hah-hoo-loo,Li-co ze ki ze nde ha-hu-lu,The food is very good.,Food compliment.
lozi,emergency,Please help me,"Ni tuseni, ni a kupa",nee too-seh-nee nee ah koo-pah,Ni tu-se-ni / ni a ku-pa,Please help me.,Polite request for assistance.
lozi,emergency,I need a doctor / clinic,Ni tokwa dokota / sipatela,nee toh-kwah doh-koh-tah / see-pah-teh-lah,Ni to-kwa do-ko-ta / si-pa-te-la,I need a doctor / clinic.,Health emergency phrase.
tonga,greetings,How are you? / Greetings,Muli buti? / Mwapona?,moo-lee boo-tee / mwah-poh-nah,Mu-li bu-ti / Mwa-po-na,How are you?,Respectful/general Tonga greeting.
tonga,greetings,Good morning / How did you wake?,Mwabuka buti?,mwah-boo-kah boo-tee,Mwa-bu-ka bu-ti,How did you wake?,Standard morning greeting.
tonga,greetings,Good afternoon / How is the day?,Mwayusa buti?,mwah-yoo-sah boo-tee,Mwa-yu-sa bu-ti,How is your afternoon/day?,Common afternoon greeting.
tonga,greetings,I am fine / Peaceful,Ndili kabotu,n-dee-lee kah-boh-too,Ndi-li ka-bo-tu,I am well/fine.,Standard response.
tonga,greetings,Thank you,Ndalumba / Twalumba,n-dah-loom-bah / twah-loom-bah,Nda-lum-ba / Twa-lum-ba,I/we thank you.,Standard gratitude.
tonga,greetings,Thank you very much,Ndalumba kapati / Twalumba kapati,n-dah-loom-bah kah-pah-tee / twah-loom-bah kah-pah-tee,Nda-lum-ba ka-pa-ti / Twa-lum-ba ka-pa-ti,Thank you very much.,Strong appreciation.
tonga,greetings,Welcome (to visitors),Mwabonwa / Amusike,mwah-bohn-wah / ah-moo-see-keh,Mwa-bo-nwa / A-mu-si-ke,Welcome.,Established Tonga welcome forms.
tonga,greetings,Goodbye (to person staying / Stay well),Muchaale kabotu,moo-chah-ah-leh kah-boh-too,Mu-chaa-le ka-bo-tu,Remain well.,Traditional farewell to those staying.
tonga,greetings,Goodbye (to person leaving / Go safely),Muyende kabotu,moo-yehn-deh kah-boh-too,Mu-ye-nde ka-bo-tu,Go/travel well.,Farewell to departing traveller.
tonga,safari,The waterfall is magnificent,Mfula yamatalika eeyi njibotu kapati,m-foo-lah yah-mah-tah-lee-kah eh-yee n-jee-boh-too kah-pah-tee,Mfu-la ya-ma-ta-li-ka ee-yi nji-bo-tu ka-pa-ti,This waterfall is very beautiful.,Tourism phrase; local terminology should be native-speaker checked.
tonga,safari,Lion / Elephant / Leopard,Shumba / Nzovu / Nkaka,shoom-bah / n-zoh-voo / n-kah-kah,Shu-mba / Nzo-vu / Nka-ka,Lion / Elephant / Leopard,Wildlife vocabulary; dialect forms may vary.
tonga,navigation,Where is the road to...?,Nzila iinda ku... ili kuli?,n-zee-lah ee-n-dah koo ee-lee koo-lee,Nzi-la i-nda ku i-li ku-li,Where is the road to...?,Direction phrase.
tonga,market,How much is this?,Mali nzi eeci?,mah-lee n-zee eh-chee,Ma-li nzi ee-ci,How much is this?,Documented Tonga shopping phrase.
tonga,market,Drinking water / Nshima (staple meal),Meenda akunwa / Bwali,meh-ehn-dah ah-koon-wah / bwah-lee,Mee-nda a-ku-nwa / Bwa-li,Drinking water / staple maize meal,Bwali is the staple maize meal.
tonga,market,The food is very delicious,Chakulya eeci nchibotu kapati,chah-koo-lyah eh-chee n-chee-boh-too kah-pah-tee,Cha-ku-lya ee-ci nchi-bo-tu ka-pa-ti,This food is very good.,Food compliment.
tonga,emergency,Please help me,Amundigwasye,ah-moon-dee-gwah-syeh,A-mu-ndi-gwa-sye,Please help me.,Polite request for help.
tonga,emergency,I need a doctor / clinic,Ndiyanda dotolo / chipatala,n-dee-yahn-dah doh-toh-loh / chee-pah-tah-lah,Ndi-ya-nda do-to-lo / chi-pa-ta-la,I need a doctor / clinic.,Health emergency phrase.
